Iteration,Raw_Mean,Raw_Max,Raw_Min,Norm_Mean,Norm_Q99,Norm_Q95
1000,55795.01953125,11192984.00000000,0.00000000,0.06347421,0.99934387,0.30342892
1500,36487.21093750,10558778.00000000,0.00000000,0.06395838,0.99907756,0.32394904
2000,36284.23828125,7056913.50000000,0.00000000,0.06831547,0.99995232,0.34178853
2500,52112.07031250,14977992.00000000,0.00000000,0.05922253,0.99965966,0.30135846
3000,36759.62890625,6118697.50000000,0.00000000,0.05907985,0.99998093,0.30754980
3500,77915.76562500,30447542.00000000,0.00000000,0.05205219,0.99858880,0.25632119
4000,30360.58789062,10188145.00000000,0.00000000,0.05269737,0.99993265,0.27676043
4500,32727.08984375,19237428.00000000,0.00000000,0.05007378,0.99902999,0.27431709
5000,29395.78320312,10163246.00000000,0.00000000,0.04253931,0.99824440,0.22679101
5500,20491.66796875,5324031.50000000,0.00000000,0.04133517,0.99999106,0.22111180
6000,21368.17578125,6332977.00000000,0.00000000,0.03939091,0.99990100,0.20362958
6500,32898.55078125,10684126.00000000,0.00000000,0.04042158,0.99976259,0.21417840
7000,36813.23437500,18955128.00000000,0.00000000,0.03155157,0.99938589,0.13807014
7500,11095.14160156,6325199.00000000,0.00000000,0.03221854,0.99919534,0.14589803
8000,13754.82714844,5083967.50000000,0.00000000,0.03473871,0.99985272,0.16974680
8500,16608.22460938,17233758.00000000,0.00000000,0.03486048,0.99964863,0.17624851
9000,20632.71484375,18869296.00000000,0.00000000,0.03165485,0.99994975,0.14839493
9500,22085.42773438,10078913.00000000,0.00000000,0.03335142,0.99995792,0.15736155
10000,16629.45703125,7349363.00000000,0.00000000,0.03208425,0.99997509,0.15107952
10500,15490.37011719,15630570.00000000,0.00000000,0.03149102,0.99999547,0.14653651
11000,10766.18164062,6254968.50000000,0.00000000,0.03272336,0.99968147,0.15769263
11500,9401.02832031,10250684.00000000,0.00000000,0.03283096,0.99993819,0.15379119
12000,10429.50878906,7652937.50000000,0.00000000,0.03179410,0.99998951,0.14576498
12500,15827.03906250,10810085.00000000,0.00000000,0.03094566,0.99981576,0.14001614
13000,23878.68945312,36863656.00000000,0.00000000,0.02475188,0.99900222,0.08238350
13500,8781.97460938,3705017.50000000,0.00000000,0.03137786,0.99982554,0.14510846
14000,19197.47265625,19171010.00000000,0.00000000,0.02606407,0.99984038,0.09242472
14500,10611.77539062,4329159.00000000,0.00000000,0.03002984,0.99991184,0.13450219
18000,10758.08105469,7819081.50000000,0.00000000,0.02724439,0.99958563,0.10370754
21000,12091.36425781,6179467.00000000,0.00000000,0.03153929,0.99998283,0.14473933
24000,22730.20703125,26678716.00000000,0.00000000,0.02708531,0.99994624,0.10087968
27000,19673.79687500,25355428.00000000,0.00000000,0.02587678,0.99994051,0.09381612
